"state","county","clinton_pctvotes","trump_pctvotes","obama_pctvotes","pct_pop65","pct_black","pct_white","pct_hispanic","pct_asian","highschool","bachelors","income","trump_win"
"KS","Sheridan County",9.25,87.08,12.5,22.7,0.2,97.9,3.8,0.2,90.8,22.4,48.674,1
"KS","Sherman County",13.4,80.53,22.06,18.3,1,95.3,12.2,1.1,88.9,15.7,38.634,1
"KS","Smith County",14.65,81.18,17.4,26.3,0.5,97.1,1.7,0.2,89.2,16.7,45.556,1
"KS","Stafford County",16.08,78.82,21.99,20.5,0.7,95.4,13.1,0.5,87.9,19.1,43.292,1
"KS","Stanton County",17.79,78.17,18.93,16.6,0.9,94.8,36.2,0.3,76.9,18.5,46.382,1
"KS","Stevens County",11.6,84.4,12.06,13.2,0.8,95.6,34.9,0.4,80.6,17.6,54.494,1
"KS","Sumner County",21.48,72.09,29.11,17.1,1.3,94.6,5.2,0.4,90.9,17.8,47.894,1
"KS","Thomas County",13.41,81.31,17,15.5,0.8,96,5.4,0.7,91.6,27.9,48.187,1
"KS","Trego County",13.23,83,18.72,24.2,0.7,97.4,2,0.4,90.2,21.5,45.714,1
"KS","Wabaunsee County",23.14,70.6,28.12,17.5,0.8,96.1,3.4,0.3,95.4,20.6,54.694,1
"KS","Wallace County",5.78,91.27,8.71,21.4,0.9,96.8,6.7,0.1,87.5,23.5,47.454,1
"KS","Washington County",14.12,79.79,17.99,23.6,0.6,97.4,3.4,0.4,90.3,16.1,42.515,1
"KS","Wichita County",14.88,81.91,15.91,18,1.1,96.9,28.4,0.2,77.4,16.6,53.018,1
"KS","Wilson County",15.8,78.89,21.98,20.1,0.5,94.6,2.8,0.7,81.9,13,38.917,1
"KS","Woodson County",19.01,74.86,26.27,22.6,0.5,95.8,2.7,0.1,90.7,18.2,33.839,1
"KS","Wyandotte County",61.82,32.7,67.31,11.2,24.8,66.9,27.3,3.7,78.2,15.5,39.402,0
"KY","Adair County",16.08,80.66,21.84,16.4,3,95.1,1.9,0.3,73.7,13.9,32.524,1
