"country","hdi_2018","median_age","pctpop65","pct_internet","pct_labour"
"Guinea-Bissau",0.461,18.4,0.0526315789473684,3.9,73
"Guyana",0.67,25,0.125,37.3,57.4
"Haiti",0.503,22.7,0.0540540540540541,32.5,67.9
"Honduras",0.623,22.5,0.0520833333333333,31.7,65.2
"Hong Kong, China (SAR)",0.939,43.2,0.162162162162162,89.4,60.3
"Hungary",0.845,41.7,0.195876288659794,76.1,56.2
"Iceland",0.938,36,0.333333333333333,99,76.3
"India",0.647,26.8,0.0618068904332397,34.5,51.9
"Indonesia",0.707,28.5,0.058647740007471,39.8,67.1
"Iran (Islamic Republic of)",0.797,29.7,0.0623471882640587,70,44.1
"Iraq",0.689,20,0.0338541666666667,49.4,42.6
"Ireland",0.942,36.5,0.145833333333333,84.5,61.5
"Israel",0.906,30.2,0.119047619047619,81.6,64.1
"Italy",0.883,45.4,0.227722772277228,74.4,48.9
"Jamaica",0.726,29,0.103448275862069,55.1,67.1
"Japan",0.915,46.4,0.275943396226415,84.6,60.7
"Jordan",0.723,22.1,0.04,66.8,39.3
"Kazakhstan",0.817,29.4,0.0765027322404371,78.9,70.8
"Kenya",0.579,18.9,0.0233463035019455,17.8,66.3
"Korea (Republic of)",0.906,40.8,0.14453125,95.9,63
"Kuwait",0.808,33.5,0.024390243902439,99.6,73.9
"Kyrgyzstan",0.674,25.1,0.0476190476190476,38,61.6
"Lao People's Democratic Republic",0.604,22.8,0.0422535211267606,25.5,78.2
"Latvia",0.854,42.6,0.210526315789474,83.6,61.1
"Lebanon",0.73,27.6,0.072463768115942,78.2,47.3
"Lesotho",0.518,23,0.0476190476190476,29,67
"Liberia",0.465,18.8,0.0416666666666667,8,56.1
"Libya",0.708,27.1,0.0447761194029851,21.8,52.4
"Lithuania",0.869,42.7,0.214285714285714,79.7,61
"Luxembourg",0.909,39.3,0.166666666666667,97.1,58.1
"Madagascar",0.521,18.7,0.0304182509505703,9.8,86.4
"Malawi",0.485,17.2,0.0276243093922652,13.8,77.3
"Malaysia",0.804,28.2,0.0666666666666667,81.2,64.6
"Maldives",0.719,28.6,0,63.2,65.4
"Mali",0.427,16,0.0261780104712042,13,71
"Malta",0.885,41.1,0.25,81.4,54.7
"Mauritania",0.527,19.6,0.0227272727272727,20.8,46.3
"Mauritius",0.796,35.6,0.0769230769230769,58.6,58.2
"Mexico",0.767,27.7,0.072107765451664,65.8,61.1
"Moldova (Republic of)",0.711,35.6,0.121951219512195,76.1,42.1
"Mongolia",0.735,27.1,0.03125,23.7,59.9
"Montenegro",0.816,37.7,0.166666666666667,71.5,50.7
"Morocco",0.676,27.9,0.0694444444444444,64.8,45.4
